:grinning:	😀
:smiley:	😃
:smile:	😄
:grin:	😁
:laughing:	😆
:satisfied:	😆
:sweat_smile:	😅
:joy:	😂
:rofl:	🤣
:rolling_on_the_floor_laughing:	🤣
:relaxed:	☺
:blush:	😊
:innocent:	😇
:slight_smile:	🙂
:slightly_smiling_face:	🙂
:upside_down:	🙃
:upside_down_face:	🙃
:wink:	😉
:relieved:	😌
:heart_eyes:	😍
:kissing_heart:	😘
:kissing:	😗
:kissing_smiling_eyes:	😙
:kissing_closed_eyes:	😚
:yum:	😋
:stuck_out_tongue_winking_eye:	😜
:stuck_out_tongue_closed_eyes:	😝
:stuck_out_tongue:	😛
:money_mouth:	🤑
:money_mouth_face:	🤑
:hugging:	🤗
:hugging_face:	🤗
:nerd:	🤓
:nerd_face:	🤓
:sunglasses:	😎
:clown:	🤡
:clown_face:	🤡
:cowboy:	🤠
:face_with_cowboy_hat:	🤠
:smirk:	😏
:unamused:	😒
:disappointed:	😞
:pensive:	😔
:worried:	😟
:confused:	😕
:slight_frown:	🙁
:slightly_frowning_face:	🙁
:frowning2:	☹
:white_frowning_face:	☹
:persevere:	😣
:confounded:	😖
:tired_face:	😫
:weary:	😩
:triumph:	😤
:angry:	😠
:rage:	😡
:no_mouth:	😶
:neutral_face:	😐
:expressionless:	😑
:hushed:	😯
:frowning:	😦
:anguished:	😧
:open_mouth:	😮
:astonished:	😲
:dizzy_face:	😵
:flushed:	😳
:scream:	😱
:fearful:	😨
:cold_sweat:	😰
:cry:	😢
:disappointed_relieved:	😥
:drooling_face:	🤤
:drool:	🤤
:sob:	😭
:sweat:	😓
:sleepy:	😪
:sleeping:	😴
:rolling_eyes:	🙄
:face_with_rolling_eyes:	🙄
:thinking:	🤔
:thinking_face:	🤔
:lying_face:	🤥
:liar:	🤥
:grimacing:	😬
:zipper_mouth:	🤐
:zipper_mouth_face:	🤐
:nauseated_face:	🤢
:sick:	🤢
:sneezing_face:	🤧
:sneeze:	🤧
:mask:	😷
:thermometer_face:	🤒
:face_with_thermometer:	🤒
:head_bandage:	🤕
:face_with_head_bandage:	🤕
:smiling_imp:	😈
:imp:	👿
:japanese_ogre:	👹
:japanese_goblin:	👺
:poop:	💩
:shit:	💩
:hankey:	💩
:poo:	💩
:ghost:	👻
:skull:	💀
:skeleton:	💀
:skull_crossbones:	☠
:skull_and_crossbones:	☠
:alien:	👽
:space_invader:	👾
:robot:	🤖
:robot_face:	🤖
:jack_o_lantern:	🎃
:smiley_cat:	😺
:smile_cat:	😸
:joy_cat:	😹
:heart_eyes_cat:	😻
:smirk_cat:	😼
:kissing_cat:	😽
:scream_cat:	🙀
:crying_cat_face:	😿
:pouting_cat:	😾
:open_hands:	👐
:raised_hands:	🙌
:clap:	👏
:pray:	🙏
:handshake:	🤝
:shaking_hands:	🤝
:thumbsup:	👍
:+1:	👍
:thumbup:	👍
:thumbsdown:	👎
:-1:	👎
:thumbdown:	👎
:punch:	👊
:fist:	✊
:left_facing_fist:	🤛
:left_fist:	🤛
:right_facing_fist:	🤜
:right_fist:	🤜
:fingers_crossed:	🤞
:hand_with_index_and_middle_finger_crossed:	🤞
:v:	✌
:metal:	🤘
:sign_of_the_horns:	🤘
:ok_hand:	👌
:point_left:	👈
:point_right:	👉
:point_up_2:	👆
:point_down:	👇
:point_up:	☝
:raised_hand:	✋
:raised_back_of_hand:	🤚
:back_of_hand:	🤚
:hand_splayed:	🖐
:raised_hand_with_fingers_splayed:	🖐
:vulcan:	🖖
:raised_hand_with_part_between_middle_and_ring_fingers:	🖖
:wave:	👋
:call_me:	🤙
:call_me_hand:	🤙
:muscle:	💪
:middle_finger:	🖕
:reversed_hand_with_middle_finger_extended:	🖕
:writing_hand:	✍
:selfie:	🤳
:nail_care:	💅
:ring:	💍
:lipstick:	💄
:kiss:	💋
:lips:	👄
:tongue:	👅
:ear:	👂
:nose:	👃
:footprints:	👣
:eye:	👁
:eyes:	👀
:speaking_head:	🗣
:speaking_head_in_silhouette:	🗣
:bust_in_silhouette:	👤
:busts_in_silhouette:	👥
:baby:	👶
:boy:	👦
:girl:	👧
:man:	👨
:woman:	👩
:blond_haired_person:	👱
:person_with_blond_hair:	👱
:older_man:	👴
:older_woman:	👵
:grandma:	👵
:man_with_chinese_cap:	👲
:man_with_gua_pi_mao:	👲
:person_wearing_turban:	👳
:man_with_turban:	👳
:police_officer:	👮
:cop:	👮
:construction_worker:	👷
:guard:	💂
:guardsman:	💂
:detective:	🕵
:spy:	🕵
:sleuth_or_spy:	🕵
:mrs_claus:	🤶
:mother_christmas:	🤶
:santa:	🎅
:princess:	👸
:prince:	🤴
:bride_with_veil:	👰
:man_in_tuxedo:	🤵
:angel:	👼
:pregnant_woman:	🤰
:expecting_woman:	🤰
:person_bowing:	🙇
:bow:	🙇
:person_tipping_hand:	💁
:information_desk_person:	💁
:person_gesturing_no:	🙅
:no_good:	🙅
:person_gesturing_ok:	🙆
:ok_woman:	🙆
:person_raising_hand:	🙋
:raising_hand:	🙋
:person_facepalming:	🤦
:face_palm:	🤦
:facepalm:	🤦
:person_shrugging:	🤷
:shrug:	🤷
:person_pouting:	🙎
:person_with_pouting_face:	🙎
:person_frowning:	🙍
:person_getting_haircut:	💇
:haircut:	💇
:person_getting_massage:	💆
:massage:	💆
:levitate:	🕴
:dancer:	💃
:man_dancing:	🕺
:male_dancer:	🕺
:people_with_bunny_ears_partying:	👯
:dancers:	👯
:person_walking:	🚶
:walking:	🚶
:person_running:	🏃
:runner:	🏃
:couple:	👫
:two_women_holding_hands:	👭
:two_men_holding_hands:	👬
:couple_with_heart:	💑
:couplekiss:	💏
:family:	👪
:womans_clothes:	👚
:shirt:	👕
:jeans:	👖
:necktie:	👔
:dress:	👗
:bikini:	👙
:kimono:	👘
:high_heel:	👠
:sandal:	👡
:boot:	👢
:mans_shoe:	👞
:athletic_shoe:	👟
:womans_hat:	👒
:tophat:	🎩
:mortar_board:	🎓
:crown:	👑
:helmet_with_cross:	⛑
:helmet_with_white_cross:	⛑
:school_satchel:	🎒
:pouch:	👝
:purse:	👛
:handbag:	👜
:briefcase:	💼
:eyeglasses:	👓
:dark_sunglasses:	🕶
:closed_umbrella:	🌂
:umbrella2:	☂
:dog:	🐶
:cat:	🐱
:mouse:	🐭
:hamster:	🐹
:rabbit:	🐰
:fox:	🦊
:fox_face:	🦊
:bear:	🐻
:panda_face:	🐼
:koala:	🐨
:tiger:	🐯
:lion_face:	🦁
:lion:	🦁
:cow:	🐮
:pig:	🐷
:pig_nose:	🐽
:frog:	🐸
:monkey_face:	🐵
:see_no_evil:	🙈
:hear_no_evil:	🙉
:speak_no_evil:	🙊
:monkey:	🐒
:chicken:	🐔
:penguin:	🐧
:bird:	🐦
:baby_chick:	🐤
:hatching_chick:	🐣
:hatched_chick:	🐥
:duck:	🦆
:eagle:	🦅
:owl:	🦉
:bat:	🦇
:wolf:	🐺
:boar:	🐗
:horse:	🐴
:unicorn:	🦄
:unicorn_face:	🦄
:bee:	🐝
:bug:	🐛
:butterfly:	🦋
:snail:	🐌
:shell:	🐚
:beetle:	🐞
:ant:	🐜
:spider:	🕷
:spider_web:	🕸
:turtle:	🐢
:snake:	🐍
:lizard:	🦎
:scorpion:	🦂
:crab:	🦀
:squid:	🦑
:octopus:	🐙
:shrimp:	🦐
:tropical_fish:	🐠
:fish:	🐟
:blowfish:	🐡
:dolphin:	🐬
:shark:	🦈
:whale:	🐳
:whale2:	🐋
:crocodile:	🐊
:leopard:	🐆
:tiger2:	🐅
:water_buffalo:	🐃
:ox:	🐂
:cow2:	🐄
:deer:	🦌
:dromedary_camel:	🐪
:camel:	🐫
:elephant:	🐘
:rhino:	🦏
:rhinoceros:	🦏
:gorilla:	🦍
:racehorse:	🐎
:pig2:	🐖
:goat:	🐐
:ram:	🐏
:sheep:	🐑
:dog2:	🐕
:poodle:	🐩
:cat2:	🐈
:rooster:	🐓
:turkey:	🦃
:dove:	🕊
:dove_of_peace:	🕊
:rabbit2:	🐇
:mouse2:	🐁
:rat:	🐀
:chipmunk:	🐿
:feet:	🐾
:paw_prints:	🐾
:dragon:	🐉
:dragon_face:	🐲
:cactus:	🌵
:christmas_tree:	🎄
:evergreen_tree:	🌲
:deciduous_tree:	🌳
:palm_tree:	🌴
:seedling:	🌱
:herb:	🌿
:shamrock:	☘
:four_leaf_clover:	🍀
:bamboo:	🎍
:tanabata_tree:	🎋
:leaves:	🍃
:fallen_leaf:	🍂
:maple_leaf:	🍁
:mushroom:	🍄
:ear_of_rice:	🌾
:bouquet:	💐
:tulip:	🌷
:rose:	🌹
:wilted_rose:	🥀
:wilted_flower:	🥀
:sunflower:	🌻
:blossom:	🌼
:cherry_blossom:	🌸
:hibiscus:	🌺
:earth_americas:	🌎
:earth_africa:	🌍
:earth_asia:	🌏
:full_moon:	🌕
:waning_gibbous_moon:	🌖
:last_quarter_moon:	🌗
:waning_crescent_moon:	🌘
:new_moon:	🌑
:waxing_crescent_moon:	🌒
:first_quarter_moon:	🌓
:waxing_gibbous_moon:	🌔
:new_moon_with_face:	🌚
:full_moon_with_face:	🌝
:sun_with_face:	🌞
:first_quarter_moon_with_face:	🌛
:last_quarter_moon_with_face:	🌜
:crescent_moon:	🌙
:dizzy:	💫
:star:	⭐
:star2:	🌟
:sparkles:	✨
:zap:	⚡
:fire:	🔥
:flame:	🔥
:boom:	💥
:comet:	☄
:sunny:	☀
:white_sun_small_cloud:	🌤
:white_sun_with_small_cloud:	🌤
:partly_sunny:	⛅
:white_sun_cloud:	🌥
:white_sun_behind_cloud:	🌥
:white_sun_rain_cloud:	🌦
:white_sun_behind_cloud_with_rain:	🌦
:rainbow:	🌈
:cloud:	☁
:cloud_rain:	🌧
:cloud_with_rain:	🌧
:thunder_cloud_rain:	⛈
:thunder_cloud_and_rain:	⛈
:cloud_lightning:	🌩
:cloud_with_lightning:	🌩
:cloud_snow:	🌨
:cloud_with_snow:	🌨
:snowman2:	☃
:snowman:	⛄
:snowflake:	❄
:wind_blowing_face:	🌬
:dash:	💨
:cloud_tornado:	🌪
:cloud_with_tornado:	🌪
:fog:	🌫
:ocean:	🌊
:droplet:	💧
:sweat_drops:	💦
:umbrella:	☔
:giraffe:	🦒
:zebra:	🦓
:hedgehog:	🦔
:sauropod:	🦕
:t_rex:	🦖
:cricket:	🦗
:green_apple:	🍏
:apple:	🍎
:pear:	🍐
:tangerine:	🍊
:lemon:	🍋
:banana:	🍌
:watermelon:	🍉
:grapes:	🍇
:strawberry:	🍓
:melon:	🍈
:cherries:	🍒
:peach:	🍑
:pineapple:	🍍
:kiwi:	🥝
:kiwifruit:	🥝
:avocado:	🥑
:tomato:	🍅
:eggplant:	🍆
:cucumber:	🥒
:carrot:	🥕
:corn:	🌽
:hot_pepper:	🌶
:potato:	🥔
:sweet_potato:	🍠
:chestnut:	🌰
:peanuts:	🥜
:shelled_peanut:	🥜
:honey_pot:	🍯
:croissant:	🥐
:bread:	🍞
:french_bread:	🥖
:baguette_bread:	🥖
:cheese:	🧀
:cheese_wedge:	🧀
:egg:	🥚
:cooking:	🍳
:bacon:	🥓
:pancakes:	🥞
:fried_shrimp:	🍤
:poultry_leg:	🍗
:meat_on_bone:	🍖
:pizza:	🍕
:hotdog:	🌭
:hot_dog:	🌭
:hamburger:	🍔
:fries:	🍟
:stuffed_flatbread:	🥙
:stuffed_pita:	🥙
:taco:	🌮
:burrito:	🌯
:salad:	🥗
:green_salad:	🥗
:shallow_pan_of_food:	🥘
:paella:	🥘
:spaghetti:	🍝
:ramen:	🍜
:stew:	🍲
:fish_cake:	🍥
:sushi:	🍣
:bento:	🍱
:curry:	🍛
:rice_ball:	🍙
:rice:	🍚
:rice_cracker:	🍘
:oden:	🍢
:dango:	🍡
:shaved_ice:	🍧
:ice_cream:	🍨
:icecream:	🍦
:cake:	🍰
:birthday:	🎂
:custard:	🍮
:pudding:	🍮
:flan:	🍮
:lollipop:	🍭
:candy:	🍬
:chocolate_bar:	🍫
:popcorn:	🍿
:doughnut:	🍩
:cookie:	🍪
:milk:	🥛
:glass_of_milk:	🥛
:baby_bottle:	🍼
:coffee:	☕
:tea:	🍵
:sake:	🍶
:beer:	🍺
:beers:	🍻
:champagne_glass:	🥂
:clinking_glass:	🥂
:wine_glass:	🍷
:tumbler_glass:	🥃
:whisky:	🥃
:cocktail:	🍸
:tropical_drink:	🍹
:champagne:	🍾
:bottle_with_popping_cork:	🍾
:spoon:	🥄
:fork_and_knife:	🍴
:fork_knife_plate:	🍽
:fork_and_knife_with_plate:	🍽
:dumpling:	🥟
:fortune_cookie:	🥠
:takeout_box:	🥡
:chopsticks:	🥢
:bowl_with_spoon:	🥣
:cup_with_straw:	🥤
:coconut:	🥥
:broccoli:	🥦
:pie:	🥧
:pretzel:	🥨
:cut_of_meat:	🥩
:sandwich:	🥪
:canned_food:	🥫
:soccer:	⚽
:basketball:	🏀
:football:	🏈
:baseball:	⚾
:tennis:	🎾
:volleyball:	🏐
:rugby_football:	🏉
:8ball:	🎱
:ping_pong:	🏓
:table_tennis:	🏓
:badminton:	🏸
:goal:	🥅
:goal_net:	🥅
:hockey:	🏒
:field_hockey:	🏑
:cricket_game:	🏏
:cricket_bat_ball:	🏏
:golf:	⛳
:bow_and_arrow:	🏹
:archery:	🏹
:fishing_pole_and_fish:	🎣
:boxing_glove:	🥊
:boxing_gloves:	🥊
